prenatal;renda;saneamento;desemprego;analfabet;Gini;fundamental;PIB_per_capita
48.3;467.72;0.288858322;5.01;12;0.5893;37.29;13760.4
54.04;672.87;1.174261945;4.64;7.9;0.5496;51.3;14315.36
40.5;446.58;0.101265823;2.49;13.8;0.5166;36.59;15745.16
59.42;718.79;40.10324179;5.87;8.3;0.589;48.49;14870.59
52.52;553.47;0.093492895;5.24;10.4;0.5147;44.23;15997.56
59.09;507.7;0.503440175;6.32;12.9;0.5154;43.44;12165.95
47.51;401.7;0.188750472;3.45;12;0.4852;31.35;22208.13
55.76;352.67;0.135281385;4.64;9.1;0.5239;36.92;9900.31
52.07;572.48;0.380052977;4.51;9.4;0.5399;40.71;12764.72
4.13;475.62;8.358292774;6.84;9;0.5586;47.48;15607.4
42.57;557.06;0.873664362;5.16;10.6;0.5081;42.99;15277.43
42.6;710.25;3.548232913;5.61;7.6;0.5449;52.65;14461.88
46.12;395.12;0.131090234;3.64;12.7;0.5596;32.29;10225.63
41.57;489.27;0.118323191;3.54;11.2;0.5688;37.23;9777.22
59.88;563.31;1.05561277;7.35;10;0.4947;42.53;12453.84
62.93;720.94;8.010361662;5.24;8;0.55;49.8;20352.51
43.24;881.25;10.07761225;5.63;5.2;0.5745;59.88;17555.32
47.71;517.83;0.760011692;5.24;11.5;0.5281;38.67;12068.42
50.23;419.26;0;6.81;11.4;0.5783;35.56;21768.92
41.89;632.16;0.658644712;6.5;8.9;0.5401;47.07;12160.89
49.91;470.99;1.056081573;8.29;13.4;0.4972;41.3;13204.85
74.03;759.55;1.199693695;6.9;6.3;0.509;54.71;18571.95
56.89;431.45;0.250352058;3.6;10.3;0.6308;35.91;18014.04
24.91;366.91;0.062725419;3.74;12.6;0.5357;29.91;11355.58
35.39;465;29.63480343;4.98;13.3;0.5355;38.8;10637.21
46.02;332.96;0.162337662;5.63;14.5;0.5491;29.35;12408.33
50.68;494.17;0.177479787;2.49;13.5;0.5417;30.97;11764.83
68.86;442.48;0.063317856;5.11;11.1;0.5017;35.84;11424.01
41.76;331.53;3.553469661;4.04;14.4;0.5214;35.93;11630.06
58.93;497.18;0.11820331;3.65;13.7;0.5579;32.79;20630
58.57;505.42;0.16497113;2.67;11.3;0.6705;28.61;12062.52
43.23;456.43;3.781882146;4.41;11.5;0.4762;41.5;13277.46
36.91;455.51;0;3.19;13.1;0.4996;38.47;15942.44
57.24;479.27;0.639658849;3.07;10.8;0.4752;38.25;28927.61
45.17;484.24;0.087126988;5.94;13;0.525;31.06;12610
35.48;387.17;0.29930163;2.17;14.4;0.5571;30.02;12973.82
51.64;409.75;1.737070667;5.02;12.3;0.4771;34.12;10987.32
68.37;433.38;1.948717949;2.14;12;0.5588;37.94;12158.1
65.19;514.48;0;6.33;13.1;0.6102;33.75;11210.09
54.63;435.86;0.122940743;2.83;13.9;0.4813;32.15;12279.7
65.16;349.95;0;3.67;14.3;0.4665;29.18;10238.85
46.96;334.24;0;1.9;15.4;0.5315;32.64;17081.07
40.99;490.14;0;6.63;8.9;0.4964;43.18;38527.48
53.04;440.22;0.092678406;6.81;14.9;0.5188;32.81;12955.5
66.75;366.12;0.44198895;4.81;16.9;0.4695;36.74;12477.45
64.74;459.4;0;4.87;9.1;0.5684;35.69;13814.09
61.46;437.95;0.148942508;4.26;11;0.6384;29.35;12568.95
59.73;460.43;0.13559322;3.4;11.9;0.4346;32.45;12370.47
35.68;379.39;0.456323338;5.05;14.5;0.5763;28.05;13117.57
52.27;374.22;0.076530612;4.89;14.8;0.5165;31.02;10160.86
34.4;391.52;0;3.99;15.5;0.5727;30.68;12082.1
56.95;421.64;0;3.16;11.7;0.5885;34.12;11842.59
43.93;294;0.433651344;9.04;15.9;0.5464;34.58;14957.09
16.4;282.65;1.884340481;7.68;20.4;0.6228;38.84;8999.06
31.33;331.45;17.15008432;5.9;20.3;0.5945;37.3;10667.17
34.12;330.31;0.772532189;3.41;25.1;0.5832;31.87;16302.18
25.76;332.55;0.977475563;4.2;21.8;0.5627;28.54;15554.16
27.53;436.05;4.48845595;7.62;18.7;0.6438;47.85;10634.41
32.32;453.98;3.734912321;6.88;15.7;0.607;43.87;9930.4
12.32;243.32;2.813699019;5.8;36.8;0.6774;29.33;8161.5
7.09;174.21;0.460475825;5.82;25.6;0.7112;22.79;7352.17
22.33;293.1;0.223089794;5.28;23.1;0.6102;43.73;8132.27
24.59;301.88;4.090419806;2.6;31.6;0.5939;30.15;8461.78
16.2;156.7;0.872727273;5.12;34.8;0.5938;23.99;7972.43
41.7;308.17;3.964571911;8.02;18.8;0.575;38.12;11631.86
14.18;203.88;0.058754407;2.91;34.9;0.6094;27.41;9461.99
41.78;703.82;45.28742464;8.69;8.9;0.6121;59.87;12829.28
18.36;179.3;0.031938678;6.96;31.6;0.6463;34.28;16313.32
9.46;201.43;0.12254902;4.22;33.1;0.7758;29.03;7617.8
34.37;449.69;0.624331074;7.28;18;0.559;39.57;12299.55
26.74;316.63;4.080317835;8.66;24.1;0.5485;36.29;10346.91
10.93;248.2;1.201281367;3.67;32.1;0.6481;30.3;8176.77
26.39;371.79;17.12694878;4.48;20.8;0.59;34.74;10989.49
35.18;310.09;0.124378109;3.57;22.2;0.6121;29.91;10128.34
22.61;164.81;6.932688432;3.09;27.1;0.5881;28.96;4470.94
17.02;153.52;1.81598063;8;25.2;0.6698;34.32;4538.55
26.54;226.67;3.823685608;7.87;14.4;0.5807;44.75;4958.22
32.1;226.78;1.241830065;9.38;17;0.5984;35.88;4480.4
58.97;372.69;0.10855406;6.69;11.1;0.5753;37.06;8880.63
17.38;157.45;0.623916811;7.99;38.6;0.6594;20.67;4311.85
27.57;224.76;4.062815156;5.26;15.6;0.5982;33.56;6203.97
18.73;224.16;3.511141121;9.93;24.6;0.7367;29.14;3934.38
27.26;145.29;0.486097608;11.43;8.9;0.6049;42.29;4345.17
23.36;207.98;2.420168067;6.13;21.5;0.5665;36.74;4276.19
18.91;189.46;3.187803188;5.5;27.1;0.6574;23.31;6806.64
24.05;167.81;0.69393718;7.3;6.3;0.6097;37.79;4037.2
24.13;284.5;4.645614035;8.14;26.8;0.6427;33.74;5675.16
36.93;215.9;1.217861976;10;15.7;0.6364;31.59;4888.65
22.57;222.74;1.394511921;4.91;14.7;0.597;32.75;5483.97
33.91;199.28;9.813874788;4.69;27.8;0.6185;29.46;4781.78
43.95;212.91;16.50763359;3.84;27.2;0.5402;32.34;4699.11
20.08;192.03;3.089012329;6.91;13.6;0.6668;34.7;4972.68
15.41;205.17;0.243139979;3.77;19.6;0.5722;33.43;7193.77
22.19;314.89;35.80621741;10.51;17.3;0.6234;36.02;18119.18
25.1;230.67;24.76593848;9.11;18;0.6153;34.1;5652.13
29.12;240.95;1.678925488;7.68;29.6;0.6237;31.45;4317.85
25.47;203.7;1.217228464;11.84;34.2;0.6374;26.3;5802.05
30.66;198.26;1.153846154;6.15;25.2;0.631;28.97;5407.97
26.09;190.57;0.530503979;3.72;34.3;0.7397;27.38;4419.81
47.51;370.31;4.956743003;9.45;16;0.6751;39.12;5682.95
22.57;153.89;1.128728836;5.07;40.2;0.5863;25.43;4351.42
31.29;324.55;2.051648464;5.9;12.1;0.6029;37.68;7946.62
40.9;364.12;3.740862112;8.99;8.9;0.5969;44.8;11005.37
40.95;172.1;3.949044586;5.86;39.4;0.7761;14.31;6428.01
45.26;319.98;0.396600567;9.82;6.7;0.6732;50.09;6652.2
17.94;247.01;0.790513834;11.28;29.8;0.5986;23.55;5087.66
16.99;225.17;7.929515419;7.67;32.5;0.6056;24.54;4556.09
16.09;213.87;0.758293839;5.19;30.6;0.694;25.98;4916.36
23.6;223.69;14.09940945;8.75;29.2;0.5991;27.06;7433.11
32.78;335.3;8.131021195;9.51;15.3;0.5688;40.29;7331
41.14;248.52;1.622176591;7.46;12.6;0.5766;37.43;5360.86
35.87;738.42;40.91406203;10.79;3.9;0.6334;65.29;26968.8
23.13;292.25;1.15328161;7.33;18.3;0.6074;34.38;7730.78
26.99;126.8;9.595417114;17.67;23.4;0.6977;26.95;4752.05
31.03;238.1;1.959216313;4.3;9.4;0.6452;36.72;5266.39
17.86;183.82;0.581395349;14.3;9.1;0.6586;37.55;3952.25
19.94;224;6.247755835;5.84;10.4;0.6337;30.07;4932.84
24.89;242.85;0.824873096;5.78;18.1;0.6037;34.16;4768.7
15.27;219.57;10.01175088;8.58;21;0.5749;31.75;4839.78
26.04;307.1;1.620627933;8.68;5.8;0.5947;52.55;6619.57
21.84;213.82;5.575598557;10.55;31.1;0.7268;25.21;5346.84
44.34;385.09;27.65015223;5.63;7.7;0.5384;46.98;15776.91
29.68;306.91;0.968165409;15.74;12.1;0.5566;41.53;8665.62
18.8;129.88;1.074443592;5.71;38.5;0.7279;29.96;4109.16
63.61;118.9;2.054108216;7.18;24.4;0.6738;25.58;4043.02
14.96;332.02;3.271028037;4.33;16.7;0.8082;39.65;4647.83
8.84;148;2.326017633;3.54;25.1;0.6433;32.45;4130.94
53.81;261.07;0.822622108;1.85;10.4;0.5781;37.77;4658.24
34.7;233.86;0.403225806;10.55;5.7;0.5713;48.12;7063.11
26.31;319.73;7.489514679;7.81;13.9;0.6618;45.3;4441.63
34.15;190;17.87365177;4.82;31.5;0.6021;26.42;5576.84
26.13;386.88;15.50349363;6.58;13.9;0.6293;42.97;6019.33
34.03;188.63;0.250447227;6;18.9;0.5448;29.64;4871.54
25.26;221.46;1.870437956;1.52;18.8;0.6129;25.46;8642.97
49.73;236.08;2.19941349;6.24;8.8;0.6091;47.97;6320.21
22.68;219.1;1.183611533;8.71;9.6;0.5813;37.77;4776.85
9.79;119.41;0.189753321;21.71;39.8;0.7502;22.7;9078.29
17.33;193.32;6.594594595;4.53;39.9;0.7369;30.59;9980.26
47.8;752.13;18.68196721;7.33;5.7;0.5936;67.17;16390.31
17.41;319.92;0.837654567;5.95;13;0.7323;38.83;10996.06
21.51;293.59;0.715465052;5.19;18.2;0.6673;37.99;11726.18
21.01;314.32;42.89900812;8.31;12.9;0.567;41.64;9854.69
44.53;331.13;13.27146172;7.4;13.3;0.5549;39.76;10345.8
33.16;253.52;25.31305903;12.19;28.3;0.631;33.07;9743.29
41.21;426.14;2.915376677;6.16;17.7;0.7061;39.8;11168.05
13.58;198.4;0.235017626;27.76;14.5;0.712;39.93;10003.32
27.53;357.11;3.343083995;4.66;10.9;0.7429;48.24;10951.61
36.47;280.21;0.673967987;6.09;14.5;0.5729;39.1;9809.02
47.97;353.82;6.516724337;6.87;11.8;0.5498;46.57;9777.4
41.57;321.13;0.749711649;8.85;12.4;0.5895;43.52;9454.62
5.21;117.47;0.138504155;1.68;26.8;0.778;21.59;7334.62
33.6;287.19;1.060905004;8.55;13;0.5389;42.56;3786.92
40.66;380.89;0.481798715;10.97;17;0.5825;35.08;6811.9
21.84;197.94;0.230473752;7.31;20.6;0.5355;20.65;4392.31
11.82;162.49;0.118448327;11.76;27.8;0.6604;19.56;3246.22
26.17;239.92;7.157604955;13.52;13;0.526;22.61;7775.99
39.86;206.54;0.528663473;6.56;15.5;0.5968;30.49;4643.43
29.4;459.27;17.00585093;10.67;12.2;0.6573;44.37;12770.11
30.94;478.9;1.593067696;6.63;12.8;0.5721;45.37;7309.9
9.99;186.2;0.721203379;5.99;31.2;0.6181;16.62;2749.38
47.84;544.31;11.50556439;10.98;3.4;0.5352;64.11;7775.22
28.42;261.75;0.0591133;3.59;19;0.5855;26.92;4541.21
20.19;149.79;0.429039178;3.81;23.7;0.5682;25.2;3257.95
28.9;169.63;0.71930125;8.01;24.1;0.5846;25.84;4760.07
24.12;147.65;0.844004657;6.07;13.3;0.6049;34.48;3334.64
24.44;159.16;0.673672864;12.11;23.9;0.4831;20.44;2364.62
33.46;221.14;0.749344324;4.1;13.8;0.5428;37.92;3940.33
34.36;406.25;0.101626016;6.16;15;0.6263;27.14;10383.43
48.87;416.77;12.05119948;13.11;8.1;0.5734;52.47;35552.46
56.16;812.43;37.62690545;10.07;3.3;0.6284;66.73;12908.95
35.23;235.34;0.300978179;12.01;11.8;0.5922;36.12;4606.81
37.49;375.51;1.287961947;13.6;6.3;0.492;53.05;11600.52
24.15;325.6;1.169438669;6.23;21.5;0.5297;30.24;5303.72
21.21;216.14;0.270921132;6.55;22.5;0.5122;25.15;3387.51
21.69;309.16;1.262298833;5.75;15.3;0.5843;38.77;3990.51
56.38;399.35;0.389729482;4.05;18.7;0.6838;30.24;5715.03
32.99;297.3;0.78410873;3.94;19.5;0.5805;36.01;5074.72
26.84;245.84;5.087518403;12.69;19.6;0.5358;29;9804.99
15.06;206.39;0.382857143;8.46;25.8;0.5828;23.49;3607.87
20.61;167.93;0.580700256;3.27;14.8;0.5382;34;2923.93
